id,name,food_group,calories,protein,carbs,total_fat,saturated_fat,unsaturated_fat,trans_fat,cholesterol,fiber,sugar,sodium,potassium,calcium,iron,magnesium,vitamin_a,vitamin_c,vitamin_d,vitamin_b12,glycemic_index,glycemic_load,fodmap_level,insulin_index,contains_gluten,contains_dairy,contains_nuts,contains_shellfish,contains_eggs,contains_soy,contains_fish,contains_wheat,flavor_profile,texture,spice_level,average_cost,seasonal_availability,prep_time,vegetarian,vegan,pescatarian,keto_friendly,paleo_friendly,diabetes_friendly,heart_healthy,kidney_friendly,liver_friendly,cuisine_origins,breakfast_friendly,lunch_friendly,dinner_friendly,snack_friendly,sleep_impact,stress_impact
1,Ingredient_1,Oils,280,22.6,4.1,8.6,9.4,18.7,0.91,9.7,13.0,7.1,594.3,438.2,52.1,9.8,93.9,9896.1,29.8,48.1,1.62,21,10,Medium,26,1,0,0,0,1,0,0,1,Sour,Tender,9,0.69,Winter,13,1,0,1,0,0,1,0,1,0,Asian,0,0,0,0,Negative,Positive
2,Ingredient_2,Vegetables,295,25.5,4.4,6.2,4.0,15.8,0.09,10.9,0.1,12.6,8.2,787.6,358.9,1.2,67.5,5457.3,79.3,25.6,2.1,58,24,High,9,1,0,0,0,0,0,0,0,Salty,Soft,3,7.51,Spring,3,0,0,0,0,0,0,0,1,0,Global,0,1,1,0,Negative,Negative
3,Ingredient_3,Vegetables,315,9.8,17.9,29.2,5.0,19.1,0.32,5.2,11.2,3.5,160.4,41.9,115.5,1.0,188.5,4067.6,27.6,44.6,2.4,96,14,High,94,1,0,0,0,0,0,0,0,Salty,Creamy,0,0.8,Spring,17,0,0,0,0,1,1,1,0,0,Asian,0,0,0,0,Negative,Positive
4,Ingredient_4,Herbs/Spices,82,21.5,0.1,17.9,6.9,19.0,0.88,10.2,12.7,3.4,187.2,274.0,188.6,5.2,150.5,6565.2,16.0,16.8,0.04,8,23,Low,9,0,0,1,0,0,0,0,0,Salty,Chewy,7,9.39,Spring,1,1,1,1,0,0,0,0,1,0,Mexican,0,1,0,0,Neutral,Positive
5,Ingredient_5,Grains,151,15.0,28.4,3.7,5.3,19.8,0.61,68.5,5.0,7.5,820.4,604.1,399.6,3.7,161.0,1126.6,58.9,13.3,0.62,19,13,Low,29,0,0,1,0,0,0,0,1,Sour,Firm,4,4.61,All year,5,0,1,1,1,1,1,0,0,1,Global,1,1,1,1,Negative,Positive
6,Ingredient_6,Nuts/Seeds,266,0.2,1.0,29.7,3.3,16.4,0.7,29.2,3.3,9.6,957.3,358.1,306.8,7.1,14.0,4871.5,12.6,28.8,3.42,28,1,Low,19,0,0,1,0,0,0,0,0,Savory,Creamy,7,6.8,Fall,11,0,1,1,0,1,1,1,1,0,Indian,1,1,1,0,Neutral,Positive
7,Ingredient_7,Protein,382,25.1,0.2,2.0,1.6,4.0,0.92,80.7,9.9,16.1,383.6,117.3,482.2,5.5,24.6,1445.5,80.1,3.9,0.92,57,18,Medium,42,0,0,0,0,0,0,0,0,Savory,Crunchy,1,5.88,All year,11,0,0,1,1,1,0,1,1,0,Global,1,1,1,0,Neutral,Negative
8,Ingredient_8,Herbs/Spices,54,9.7,46.0,17.0,9.7,11.5,0.13,98.8,2.4,17.6,812.7,297.2,233.3,8.1,7.6,4623.0,4.4,9.4,0.16,90,4,Low,98,1,1,0,0,0,0,0,0,Salty,Crispy,6,6.51,Spring,3,0,1,1,0,0,0,0,0,1,Mexican,0,0,1,0,Positive,Negative
9,Ingredient_9,Dairy,166,17.1,11.6,3.0,3.4,10.8,0.74,23.6,9.5,18.6,598.8,249.9,303.5,2.5,178.9,5404.0,37.7,49.9,4.46,59,7,Medium,14,1,1,0,0,0,0,0,0,Bitter,Firm,5,1.11,Summer,5,0,1,1,1,1,1,1,0,0,Indian,1,1,1,1,Neutral,Neutral
10,Ingredient_10,Protein,173,13.4,45.6,25.2,3.8,16.8,0.48,56.9,6.8,3.8,878.9,886.1,362.5,2.3,31.3,1015.6,77.4,48.8,3.21,89,0,Medium,17,0,0,0,0,1,0,0,0,Savory,Crunchy,8,6.12,Fall,1,0,1,0,0,0,0,1,0,0,Asian,0,0,1,1,Negative,Positive
11,Ingredient_11,Protein,105,18.8,6.5,20.3,9.7,12.6,0.4,49.8,2.8,16.2,252.3,323.0,445.3,7.6,110.6,5104.7,79.7,15.3,0.82,79,7,High,60,0,0,1,0,0,1,1,1,Sour,Chewy,10,1.45,Summer,16,0,1,1,0,0,0,1,1,0,Global,1,0,1,1,Neutral,Negative
12,Ingredient_12,Fruits,111,13.5,8.4,15.7,7.0,4.4,0.62,78.7,7.7,2.2,217.5,398.8,159.1,7.6,188.7,8599.3,31.8,30.0,2.88,47,12,Medium,1,0,1,1,0,0,0,0,0,Savory,Crispy,8,7.98,Spring,14,1,0,0,1,0,1,0,1,0,Mexican,1,0,0,0,Negative,Neutral
13,Ingredient_13,Herbs/Spices,47,1.9,29.7,30.0,5.3,7.0,0.14,16.6,9.1,3.6,118.7,515.1,342.4,0.5,129.8,6456.0,17.8,36.9,0.03,40,11,High,72,0,0,0,1,0,0,0,0,Bitter,Tender,2,2.55,All year,17,1,0,1,1,1,0,1,1,0,Asian,0,0,1,0,Positive,Positive
14,Ingredient_14,Dairy,110,26.0,18.3,6.7,2.4,10.2,0.38,85.0,7.4,6.7,734.0,277.6,200.3,0.9,186.9,6540.8,31.3,30.2,1.1,68,2,High,33,1,0,0,0,0,0,0,0,Savory,Crispy,0,4.28,Spring,4,0,1,1,0,0,0,0,0,0,Asian,1,0,1,0,Negative,Positive
15,Ingredient_15,Herbs/Spices,36,15.3,40.6,21.7,8.0,14.7,0.2,50.4,0.7,10.3,749.6,450.1,472.1,7.5,151.4,8880.4,79.7,27.4,2.5,15,23,Medium,12,0,0,1,0,1,0,0,0,Sour,Soft,4,9.83,All year,11,0,0,1,1,0,1,0,0,1,Mediterranean,1,0,0,0,Neutral,Negative
16,Ingredient_16,Vegetables,133,23.2,48.7,20.2,2.0,1.5,0.84,56.1,5.9,17.6,913.4,416.8,75.5,1.9,27.4,7477.1,14.7,13.1,4.08,87,21,High,91,0,0,1,0,0,0,0,0,Savory,Chewy,9,2.96,Summer,14,0,0,0,1,1,1,0,1,0,Mediterranean,0,0,1,1,Positive,Negative
17,Ingredient_17,Oils,65,2.0,11.3,3.6,3.4,9.9,0.96,51.3,8.3,6.5,874.8,806.8,327.9,2.2,24.4,1847.4,38.7,36.2,3.53,45,7,Low,57,0,1,1,0,0,0,0,0,Savory,Soft,3,5.27,All year,9,0,1,0,0,0,0,0,1,1,Western,0,0,0,1,Negative,Neutral
18,Ingredient_18,Herbs/Spices,112,27.4,8.1,2.3,3.7,17.1,0.12,48.8,12.9,10.7,12.4,624.2,216.0,2.6,11.2,5626.1,81.6,0.2,0.54,15,14,Low,60,0,0,0,0,0,0,0,0,Neutral,Firm,1,7.66,Fall,19,0,1,0,0,0,0,1,1,1,Indian,0,0,0,0,Negative,Neutral
19,Ingredient_19,Vegetables,188,17.5,36.7,26.8,9.4,12.5,0.83,72.5,4.5,4.6,983.9,489.8,250.7,8.0,125.8,7540.2,24.9,20.4,1.8,2,15,Low,4,1,0,0,0,0,0,1,0,Savory,Soft,10,1.39,All year,15,1,1,1,1,0,0,0,1,0,Mediterranean,0,1,0,0,Positive,Negative
20,Ingredient_20,Grains,288,5.6,9.8,10.0,7.9,6.3,0.24,56.8,14.6,13.3,920.0,406.7,1.2,2.9,100.5,3197.9,4.3,17.8,0.09,37,5,Medium,56,0,0,0,1,0,0,0,0,Neutral,Chewy,0,1.11,Winter,16,1,1,0,1,1,1,0,1,0,Indian,1,0,0,0,Neutral,Positive
21,Ingredient_21,Herbs/Spices,342,7.0,38.2,16.3,5.0,14.2,0.1,38.3,12.1,3.0,288.5,705.0,300.0,0.7,47.9,787.2,26.2,13.2,3.81,71,0,High,34,0,0,0,0,0,0,0,0,Sweet,Soft,8,9.2,Summer,10,1,0,1,0,0,0,0,1,1,Mediterranean,0,1,0,0,Positive,Negative
22,Ingredient_22,Protein,264,13.4,19.5,16.9,2.3,4.0,0.91,62.6,1.5,13.8,465.3,256.2,465.2,3.5,39.5,7309.4,91.4,11.1,4.59,34,21,High,54,0,0,1,0,0,0,0,1,Sour,Tender,4,2.34,All year,18,0,1,0,0,0,1,1,1,0,Asian,1,1,0,0,Neutral,Neutral
23,Ingredient_23,Protein,162,29.1,11.1,2.7,6.8,0.7,0.79,36.9,11.5,11.3,173.3,312.5,236.0,7.0,69.6,1963.9,43.9,22.6,3.57,89,1,Low,71,1,0,0,0,0,0,0,0,Neutral,Firm,7,9.19,Winter,15,1,0,0,1,0,0,0,0,0,Mexican,0,0,1,1,Positive,Negative
24,Ingredient_24,Fruits,206,0.1,36.7,18.6,9.6,15.7,0.75,76.9,14.6,16.6,173.4,189.7,242.1,8.6,193.3,9276.1,20.3,14.8,1.88,37,14,High,26,0,0,0,0,0,0,0,0,Sweet,Tender,9,7.81,Spring,10,1,1,1,0,1,0,0,1,0,Mexican,0,0,1,0,Neutral,Negative
25,Ingredient_25,Herbs/Spices,179,2.2,1.4,9.7,0.0,2.1,0.38,34.6,11.5,10.9,399.8,20.9,124.7,0.9,176.5,2206.1,92.3,19.7,2.33,20,3,High,81,0,0,0,0,1,0,0,0,Savory,Crunchy,5,8.69,Spring,4,0,1,1,0,0,0,1,0,0,Mexican,1,1,0,1,Neutral,Negative
26,Ingredient_26,Oils,249,29.7,9.1,0.9,6.9,16.5,0.59,29.4,0.4,16.3,354.3,989.7,125.5,7.9,142.0,9905.5,30.1,5.2,0.05,12,2,Low,83,0,0,1,0,0,0,0,1,Bitter,Chewy,3,0.65,Winter,13,0,1,0,1,0,0,0,0,0,Indian,1,0,0,1,Negative,Neutral
27,Ingredient_27,Fruits,206,9.9,12.5,10.3,8.4,3.8,0.82,38.8,10.6,14.8,193.9,281.4,193.6,3.2,53.8,4640.0,39.4,27.5,1.19,46,3,High,25,0,0,1,0,1,0,0,0,Savory,Chewy,7,8.63,Summer,11,0,0,0,1,1,1,0,0,1,Mexican,1,1,0,1,Positive,Positive
28,Ingredient_28,Vegetables,177,29.6,28.0,0.1,8.3,6.2,0.07,18.4,4.2,2.0,636.5,824.5,361.7,9.5,97.5,8203.1,16.1,36.3,2.75,67,8,High,65,0,1,0,0,0,0,0,0,Neutral,Chewy,1,7.77,Fall,13,1,0,1,1,1,0,0,1,1,Indian,0,1,0,1,Neutral,Negative
29,Ingredient_29,Grains,263,0.3,3.5,28.5,4.8,6.7,0.23,19.3,7.8,10.4,70.8,636.0,18.7,5.3,116.7,275.3,98.8,3.8,2.14,75,21,High,89,0,0,1,0,0,1,0,0,Savory,Crispy,7,8.01,All year,9,1,0,1,1,0,0,1,1,0,Mexican,1,1,1,1,Negative,Neutral
30,Ingredient_30,Protein,195,29.9,17.0,17.4,1.6,15.6,0.44,16.4,2.9,17.0,134.6,559.3,97.7,9.6,43.5,3802.2,91.1,29.4,4.68,91,17,High,30,0,0,0,0,0,0,0,0,Savory,Crunchy,9,1.37,Fall,8,1,0,1,1,1,1,0,1,0,Western,0,0,1,1,Neutral,Neutral
31,Ingredient_31,Vegetables,232,22.3,9.8,17.5,2.6,5.2,0.18,7.1,3.1,8.8,461.0,955.8,460.2,8.6,129.9,137.5,3.2,13.6,2.39,59,10,Low,7,1,0,0,0,0,0,0,0,Bitter,Chewy,4,2.79,Winter,15,1,0,0,1,1,0,0,0,1,Asian,0,1,1,1,Neutral,Negative
32,Ingredient_32,Dairy,36,3.8,21.5,7.9,5.7,9.2,0.95,71.6,3.8,9.4,91.8,881.6,434.2,3.7,177.8,8867.8,18.8,1.4,0.49,74,6,Low,85,0,1,0,0,1,0,0,0,Salty,Firm,5,6.85,Fall,19,0,1,1,1,0,0,1,1,1,Asian,1,0,1,1,Positive,Positive
33,Ingredient_33,Herbs/Spices,18,29.8,5.1,7.9,8.6,1.4,0.88,98.0,7.8,17.8,721.4,536.0,363.9,5.2,140.0,7727.7,4.0,10.1,4.37,45,7,Low,29,0,0,0,0,0,0,0,0,Bitter,Crispy,9,9.63,Summer,13,1,1,0,0,1,0,0,1,0,Asian,0,0,0,0,Positive,Positive
34,Ingredient_34,Grains,264,22.2,39.4,8.0,6.7,15.5,0.05,49.0,4.0,15.1,467.5,660.5,194.3,5.2,123.8,1952.7,0.9,28.1,1.45,65,24,Low,82,0,0,0,0,0,0,0,0,Sweet,Tender,10,9.05,Winter,17,1,0,0,1,1,1,1,1,1,Mexican,1,1,1,1,Negative,Positive
35,Ingredient_35,Herbs/Spices,146,12.9,49.2,9.2,7.3,17.3,0.97,10.4,9.4,11.5,257.7,904.9,455.6,8.9,106.0,3206.4,40.8,26.2,0.05,95,21,Medium,61,0,0,0,0,0,0,0,1,Sweet,Soft,5,9.06,Winter,12,1,0,1,1,0,0,0,0,1,Global,0,1,1,0,Negative,Negative
36,Ingredient_36,Herbs/Spices,108,3.8,40.2,19.6,7.7,5.4,0.16,50.7,4.3,14.4,109.4,903.3,282.0,9.6,153.6,5550.3,14.0,40.0,2.57,58,17,Medium,51,0,0,0,1,0,0,0,0,Sour,Crunchy,0,0.78,Spring,10,0,1,0,1,0,1,1,1,0,Western,1,1,0,1,Negative,Neutral
37,Ingredient_37,Vegetables,123,16.7,48.6,0.1,4.6,12.7,0.38,52.5,11.5,9.4,380.0,0.6,117.0,6.3,87.0,847.4,31.2,21.0,4.77,89,17,Medium,55,1,1,0,1,0,0,0,0,Salty,Creamy,2,9.97,Summer,13,0,1,0,0,1,0,1,1,0,Indian,0,0,0,0,Neutral,Negative
38,Ingredient_38,Protein,188,6.7,8.1,20.4,1.9,11.5,0.01,7.0,3.4,9.0,375.1,934.3,156.5,1.0,89.6,3481.7,49.8,49.8,1.51,67,2,Medium,91,0,0,0,0,0,0,0,1,Savory,Chewy,5,4.21,Spring,3,1,1,0,1,0,1,1,0,1,Indian,1,1,0,1,Neutral,Negative
39,Ingredient_39,Vegetables,59,7.7,25.1,19.6,5.0,17.4,0.23,42.8,14.7,14.6,194.3,632.2,86.9,4.8,96.6,8842.5,90.1,14.4,3.62,56,14,Low,45,0,0,0,1,0,0,0,0,Salty,Crunchy,8,5.32,Winter,11,0,1,1,0,1,1,0,1,0,Indian,0,0,1,0,Neutral,Positive
40,Ingredient_40,Herbs/Spices,324,0.3,29.5,18.6,7.1,5.3,0.69,1.4,12.4,9.1,220.8,737.9,327.2,3.3,106.3,7673.5,93.4,3.2,0.93,49,18,High,94,0,0,1,1,1,0,0,1,Neutral,Soft,3,9.39,Summer,8,0,1,0,1,0,1,1,1,0,Mediterranean,1,0,1,0,Neutral,Negative
41,Ingredient_41,Grains,248,22.0,10.8,23.9,0.6,3.4,0.54,22.8,10.5,17.3,371.5,578.0,172.2,7.6,97.0,2318.0,43.1,14.6,2.16,55,21,High,30,0,1,0,0,0,0,0,1,Salty,Soft,9,3.72,Spring,15,1,1,0,1,0,1,1,0,0,Global,0,1,0,0,Negative,Neutral
42,Ingredient_42,Oils,14,16.8,18.0,19.0,4.9,17.0,0.02,5.6,2.7,6.9,989.6,496.1,259.3,3.6,97.5,4506.9,89.2,46.1,4.7,67,1,Medium,71,0,0,0,0,0,0,0,0,Neutral,Creamy,8,2.31,Winter,9,1,1,0,1,0,1,1,0,0,Indian,0,1,1,0,Neutral,Positive
43,Ingredient_43,Fruits,218,6.7,25.6,6.5,5.3,2.3,0.0,47.7,5.0,0.7,235.2,112.9,328.1,6.4,137.2,1481.3,99.1,14.4,2.69,95,16,Medium,23,0,0,0,0,0,0,1,0,Salty,Creamy,9,7.53,All year,14,0,0,0,1,1,1,1,1,0,Mexican,0,1,0,1,Neutral,Neutral
44,Ingredient_44,Vegetables,386,26.3,27.9,22.3,4.2,1.3,0.9,48.9,9.3,12.5,340.4,626.6,122.0,6.1,43.1,8459.0,25.4,30.1,3.53,82,12,High,64,0,1,1,0,0,0,0,0,Sweet,Crispy,4,7.68,Fall,14,0,0,1,0,1,1,0,0,0,Mediterranean,1,1,0,1,Negative,Negative
45,Ingredient_45,Protein,115,18.5,18.4,3.7,1.8,17.5,0.47,66.1,10.9,9.2,758.5,705.6,312.0,4.7,79.2,877.3,20.5,33.7,2.71,7,13,High,41,0,0,1,1,0,0,0,0,Sour,Soft,1,3.07,Summer,3,0,1,1,1,1,0,1,0,1,Asian,0,1,1,1,Neutral,Neutral
46,Ingredient_46,Dairy,362,4.6,18.3,29.4,5.0,5.7,0.73,52.9,2.4,2.2,728.8,132.5,244.4,8.3,178.2,7877.2,19.8,1.9,0.73,18,6,Low,76,1,1,0,0,0,1,0,1,Bitter,Crispy,0,2.38,All year,9,0,1,1,0,1,1,1,1,1,Mediterranean,0,1,0,0,Positive,Negative
47,Ingredient_47,Grains,45,24.4,11.8,13.4,0.4,16.5,0.95,54.1,11.4,12.7,659.3,447.3,325.8,0.1,126.1,9602.2,38.1,12.2,1.11,95,9,Medium,79,1,0,0,1,0,1,0,0,Sour,Creamy,6,5.71,Winter,15,0,1,0,1,0,0,0,0,1,Global,0,1,0,1,Negative,Negative
48,Ingredient_48,Protein,127,1.8,24.6,26.2,5.2,2.1,0.29,31.6,2.0,6.9,437.6,604.8,188.1,2.2,85.9,1746.0,58.6,1.2,0.72,11,22,High,73,0,0,0,0,0,0,0,0,Sour,Chewy,9,3.41,All year,9,1,0,1,1,1,0,0,0,0,Asian,0,1,1,0,Negative,Negative
49,Ingredient_49,Protein,339,16.1,15.5,27.9,0.6,0.7,0.18,84.1,14.2,0.2,825.3,994.8,451.9,5.2,122.1,4552.2,37.0,47.7,4.34,74,0,Medium,74,0,0,1,0,0,0,0,0,Sour,Creamy,0,5.41,Summer,17,0,1,0,1,0,0,0,1,1,Global,0,1,0,0,Neutral,Negative
50,Ingredient_50,Grains,52,9.4,13.3,23.4,6.4,12.1,0.5,29.3,3.3,1.1,329.8,206.8,434.4,8.3,100.7,6698.2,82.5,31.4,4.26,69,15,Low,9,0,0,0,0,0,0,0,0,Sweet,Crispy,0,5.42,Spring,1,1,0,0,1,1,1,0,0,1,Global,0,0,1,0,Negative,Negative
51,Ingredient_51,Nuts/Seeds,234,8.1,31.5,16.0,8.3,12.5,0.98,1.6,5.8,4.9,209.9,320.2,412.4,2.1,98.0,645.9,99.0,32.2,1.93,52,1,Medium,60,0,0,0,0,0,0,0,0,Savory,Crunchy,3,1.62,Winter,4,0,0,1,1,1,0,0,1,0,Indian,1,0,1,1,Positive,Positive
52,Ingredient_52,Nuts/Seeds,24,20.2,13.2,11.2,0.0,2.6,0.26,93.4,3.9,5.9,648.5,729.2,151.9,9.9,100.2,9835.7,73.1,32.2,1.24,5,0,Low,23,0,0,1,1,0,0,0,0,Savory,Crispy,5,8.37,Fall,6,0,1,0,0,0,1,0,0,1,Global,1,1,0,0,Negative,Negative
53,Ingredient_53,Protein,62,11.8,4.0,4.0,5.0,2.3,0.81,0.8,9.8,3.9,250.2,615.8,401.7,0.3,187.2,1663.9,37.5,25.7,0.28,29,13,Low,48,0,0,1,0,0,0,0,0,Salty,Crispy,0,7.31,Summer,10,0,1,0,0,0,1,0,0,0,Mexican,1,1,0,0,Positive,Positive
54,Ingredient_54,Oils,31,12.8,38.3,17.7,2.9,0.0,0.39,20.6,11.3,14.2,865.5,150.7,494.3,4.9,32.4,726.4,72.5,32.1,0.44,54,17,Low,12,0,0,0,1,0,0,0,0,Neutral,Chewy,9,8.71,Fall,13,1,0,1,0,0,1,1,0,1,Indian,0,0,1,0,Negative,Neutral
55,Ingredient_55,Fruits,175,23.8,10.5,1.8,8.0,1.6,0.56,26.1,14.5,3.8,908.7,136.5,199.0,7.0,28.8,6160.0,2.4,31.8,0.36,59,20,Medium,78,0,0,0,0,0,0,0,0,Neutral,Creamy,7,7.77,Fall,3,0,0,0,0,0,0,0,0,0,Western,1,0,0,1,Neutral,Positive
56,Ingredient_56,Grains,19,28.0,23.7,5.5,3.2,2.7,0.5,64.0,3.0,8.7,517.6,654.0,408.1,6.2,11.3,7323.2,14.6,39.0,3.08,75,1,Low,91,0,1,1,0,0,0,0,1,Salty,Soft,0,4.19,Summer,12,0,1,0,1,0,0,1,1,0,Western,0,1,1,0,Neutral,Neutral
57,Ingredient_57,Fruits,316,14.1,46.8,12.0,9.9,17.9,0.64,10.2,1.7,1.5,657.8,901.4,330.5,5.2,169.1,1901.0,72.4,11.2,1.32,80,12,High,25,0,0,0,1,1,0,0,0,Bitter,Creamy,2,3.29,All year,17,0,0,0,0,0,1,1,1,0,Mediterranean,0,1,0,0,Positive,Negative
58,Ingredient_58,Protein,392,15.6,10.9,25.1,3.7,15.0,0.48,52.4,11.9,12.5,528.8,769.2,89.8,9.4,141.8,6328.8,67.6,0.4,0.01,73,18,High,49,0,1,0,0,0,0,0,0,Neutral,Chewy,7,5.35,Winter,11,0,0,0,1,1,0,0,0,0,Asian,0,1,0,1,Neutral,Neutral
59,Ingredient_59,Oils,380,7.3,15.5,6.2,0.8,7.6,0.07,57.0,8.2,18.6,855.0,838.8,51.9,5.4,109.8,4524.6,12.3,3.5,4.86,80,10,High,40,0,0,0,0,0,0,0,0,Sweet,Crunchy,4,2.51,All year,11,0,1,0,0,0,1,0,0,1,Western,1,0,0,0,Positive,Positive
60,Ingredient_60,Dairy,101,9.6,35.1,14.8,1.4,4.7,0.4,57.5,0.7,10.6,175.4,503.7,151.2,1.1,188.7,6100.8,29.5,10.3,3.49,43,22,Low,18,0,0,0,1,1,0,0,0,Salty,Crunchy,7,9.67,Summer,1,1,1,1,0,1,1,1,1,1,Indian,1,1,1,1,Neutral,Negative
61,Ingredient_61,Protein,342,11.3,47.1,25.8,7.3,1.5,0.27,75.9,2.2,5.0,125.8,764.0,366.7,3.1,80.2,9927.3,52.4,19.8,0.22,65,10,Medium,88,1,0,1,0,0,0,0,0,Sweet,Chewy,10,3.46,Winter,19,0,1,0,0,0,1,0,1,1,Mediterranean,1,0,0,1,Neutral,Positive
62,Ingredient_62,Vegetables,389,10.4,10.5,19.5,9.1,17.8,0.96,57.2,7.8,0.2,501.2,407.1,318.3,9.7,98.7,9158.9,76.9,44.8,1.19,87,17,High,13,1,0,0,0,0,0,0,1,Neutral,Creamy,2,3.01,Summer,16,0,0,0,0,1,1,1,1,1,Global,1,1,1,0,Negative,Negative
63,Ingredient_63,Dairy,70,28.5,23.1,28.7,3.8,3.3,0.13,61.0,6.7,1.2,469.0,186.5,419.7,6.2,145.7,1573.4,20.1,28.5,2.2,18,0,High,37,0,0,1,1,0,0,0,0,Neutral,Creamy,2,8.93,Winter,11,1,0,0,0,1,1,1,0,1,Mediterranean,1,1,1,0,Positive,Negative
64,Ingredient_64,Dairy,361,24.2,48.7,6.9,5.3,20.0,1.0,64.5,3.5,9.6,342.2,660.2,256.0,7.0,38.5,5523.5,46.3,3.6,2.56,1,24,Low,79,1,1,0,0,0,0,0,0,Salty,Creamy,6,1.54,Fall,17,0,0,1,1,0,1,1,0,1,Mediterranean,1,1,1,0,Positive,Negative
